aX,aY,aZ,gX,gY,gZ
-1.497,-1.390,2.518,-81.060,148.680,-101.150
-1.362,-1.167,2.362,-74.480,90.580,-140.420
-1.308,-1.048,2.161,-51.380,64.260,-167.090
-1.233,-0.827,2.085,-25.760,12.460,-178.290
-1.168,-0.641,1.927,-18.690,-26.950,-198.170
-1.121,-0.555,1.783,-11.970,-45.500,-212.660
-1.011,-0.388,1.707,-5.390,-77.350,-216.860
-0.957,-0.244,1.560,-1.330,-105.770,-223.230
-0.881,-0.172,1.402,11.340,-117.390,-224.350
-0.827,-0.050,1.334,17.780,-133.350,-225.330
-0.801,0.061,1.202,17.360,-137.760,-224.350
-0.715,0.117,1.093,17.080,-142.100,-221.620
-0.619,0.211,1.038,16.870,-144.550,-214.480
-0.581,0.292,0.931,14.980,-143.360,-205.730
-0.508,0.328,0.838,8.820,-134.680,-200.760
-0.433,0.414,0.798,7.350,-124.320,-185.430
-0.380,0.475,0.736,7.210,-118.580,-167.440
-0.305,0.503,0.711,-3.920,-103.740,-158.130
-0.280,0.564,0.644,-10.710,-82.110,-135.870
-0.254,0.592,0.593,-15.540,-71.330,-105.630
-0.170,0.630,0.583,-11.060,-52.360,-89.670
-0.087,0.629,0.584,-11.900,-33.740,-58.590
-0.062,0.628,0.576,-18.620,-24.920,-25.200
-0.032,0.617,0.563,-8.820,-8.190,-7.700
-0.021,0.565,0.573,-3.360,0.630,23.380
-0.004,0.520,0.634,-1.120,18.480,36.610
0.016,0.397,0.677,-2.240,31.850,59.360
0.015,0.277,0.751,0.420,36.610,79.520
-0.014,0.219,0.825,3.570,44.800,87.430
-0.036,0.100,0.858,0.490,53.550,97.720
-0.041,-0.001,0.907,-3.430,56.910,103.320
-0.057,-0.047,0.933,-1.750,61.740,104.370
-0.073,-0.128,1.001,-4.690,64.890,103.810
-0.067,-0.166,1.056,-10.710,65.870,100.030
-0.049,-0.235,1.079,-10.990,63.560,97.860
-0.046,-0.281,1.121,-7.770,57.400,95.620
-0.032,-0.311,1.165,-2.030,53.900,93.870
-0.033,-0.365,1.180,-4.620,47.880,88.200
-0.037,-0.408,1.197,-2.870,44.870,82.880
-0.011,-0.433,1.231,1.540,36.050,79.170
0.012,-0.479,1.236,2.100,25.970,70.840
0.011,-0.513,1.232,4.830,21.560,60.900
-0.005,-0.529,1.231,4.060,14.350,54.740
-0.025,-0.551,1.215,2.450,9.870,42.350
-0.024,-0.556,1.200,2.170,7.210,31.500
-0.031,-0.554,1.192,7.560,0.700,26.810
-0.029,-0.561,1.175,8.750,-4.200,15.120
-0.035,-0.560,1.148,6.440,-6.020,9.450
-0.053,-0.534,1.122,8.120,-10.360,0.910
-0.061,-0.508,1.079,16.730,-11.970,-6.930
-0.048,-0.497,1.049,11.970,-12.390,-11.900
-0.045,-0.455,1.019,10.640,-11.830,-19.180
-0.038,-0.413,0.987,13.860,-11.340,-26.950
0.027,-0.397,0.983,5.880,-10.150,-31.640
0.051,-0.342,0.940,3.360,-8.050,-40.740
0.038,-0.307,0.895,0.700,-5.250,-49.070
0.034,-0.232,0.882,-6.020,2.940,-52.710
0.041,-0.157,0.867,-8.260,10.780,-58.380
0.041,-0.120,0.863,-13.580,15.120,-60.410
0.022,-0.043,0.862,-21.910,25.340,-61.950
0.013,0.031,0.869,-26.740,30.730,-58.170
0.048,0.061,0.886,-28.490,37.800,-54.180
0.080,0.110,0.896,-24.710,38.640,-43.120
0.074,0.142,0.915,-24.360,39.830,-29.120
0.029,0.159,0.909,-19.390,43.050,-20.160
-0.005,0.166,0.923,-12.950,44.870,-2.590
-0.015,0.149,0.984,-14.490,46.900,9.520
-0.093,0.106,1.002,-19.460,49.980,16.520
-0.070,0.032,1.012,-10.150,52.080,27.300
-0.074,-0.013,1.117,-6.300,49.630,49.280
-0.133,-0.073,1.129,2.870,44.380,40.040
-0.155,-0.151,1.173,6.790,40.880,44.450

-2.274,-2.288,-0.552,-112.000,-8.680,-410.130
-2.389,-2.306,-0.589,-109.130,-2.940,-435.470
-2.428,-2.292,-0.667,-107.170,4.340,-486.360
-2.477,-2.275,-0.753,-105.070,10.220,-512.260
-2.576,-2.213,-0.790,-105.280,24.500,-564.480
-2.632,-2.108,-0.851,-105.980,50.680,-616.210
-2.765,-2.046,-0.917,-113.190,54.180,-642.530
-2.928,-1.884,-0.951,-110.600,81.130,-692.650
-2.971,-1.725,-0.952,-112.770,97.650,-742.280
-3.026,-1.634,-0.884,-127.960,130.760,-765.800
-3.095,-1.441,-0.863,-134.540,161.210,-811.580
-3.092,-1.268,-0.834,-142.940,176.610,-858.760
-3.036,-1.180,-0.799,-159.320,208.040,-883.330
-2.935,-0.998,-0.796,-170.100,241.150,-934.570
-2.868,-0.801,-0.789,-192.430,256.830,-988.050
-2.777,-0.688,-0.793,-207.410,282.520,-1015.070
-2.738,-0.417,-0.836,-214.690,314.510,-1060.640
-2.678,-0.124,-0.852,-234.780,331.380,-1092.980
-2.611,0.030,-0.861,-257.530,368.970,-1102.290
-2.575,0.339,-0.917,-266.630,422.940,-1106.630
-2.572,0.608,-0.874,-287.630,453.110,-1098.720
-2.549,0.739,-0.831,-332.290,517.020,-1091.860
-2.452,0.955,-0.769,-354.130,585.270,-1071.980
-2.378,1.044,-0.713,-384.020,620.200,-1049.580
-2.280,1.214,-0.649,-402.500,689.080,-1035.020
-2.318,1.405,-0.478,-412.440,752.640,-994.700
-2.331,1.500,-0.289,-436.800,783.510,-933.450
-2.413,1.651,-0.181,-480.060,837.550,-900.270
-2.426,1.719,-0.113,-489.230,897.190,-829.640
-2.328,1.724,0.100,-486.570,922.880,-758.660
-2.253,1.754,0.261,-531.650,957.320,-718.270
-2.232,1.766,0.352,-548.170,999.810,-633.010
