aX,aY,aZ,gX,gY,gZ
0.470,0.598,1.758,-14.630,-217.000,248.850
-0.002,0.479,1.377,41.440,-224.770,250.670
-0.473,0.257,1.056,67.900,-208.530,287.560
-0.712,-0.057,0.827,90.580,-206.430,325.360
-1.196,-0.292,0.715,75.880,-219.450,341.460
-1.755,-1.019,0.115,71.750,-218.540,321.300
-1.925,-1.548,0.032,40.670,-237.930,351.400
-1.843,-1.643,0.004,-49.420,-286.020,379.260
-1.826,-2.513,-0.174,-97.090,-334.880,395.640
-1.831,-3.072,-0.210,-195.930,-358.120,349.300
-2.150,-3.850,-0.192,-295.610,-401.660,315.000
-2.718,-3.773,-0.370,-316.330,-410.690,254.380
-2.762,-3.558,-0.569,-295.610,-407.470,215.390
-2.760,-3.268,-0.674,-188.090,-387.030,204.050
-2.725,-3.318,-1.094,-109.970,-336.000,173.250
-2.941,-3.513,-1.326,14.840,-317.870,142.170
-3.108,-3.906,-1.605,111.370,-274.330,56.770
-3.105,-4.133,-2.257,148.680,-238.210,-41.580
-2.765,-4.119,-3.180,214.480,-207.830,-78.400
-1.945,-3.902,-3.548,250.460,-100.730,-118.090
-1.636,-3.984,-3.662,242.830,-55.720,-166.950
-1.151,-3.974,-3.553,190.820,7.000,-195.090
-0.796,-3.492,-3.427,119.280,43.120,-243.810
-0.699,-2.537,-2.993,85.820,54.670,-265.090
-0.659,-2.004,-2.621,25.340,77.630,-262.360
-0.247,-1.056,-2.331,14.070,105.000,-233.520
-0.526,-0.599,-1.485,-42.840,96.600,-224.910
-0.820,-0.188,-1.284,-85.330,89.180,-209.440
-0.878,0.711,-1.085,-81.060,88.760,-159.180
-0.898,1.319,-0.969,-24.990,98.980,-98.140
-0.999,1.543,-0.849,58.170,134.890,-69.370
-1.083,1.849,-0.385,97.020,167.300,-1.680
-1.100,1.958,0.033,164.640,178.220,66.640
-1.135,1.907,0.189,273.980,169.400,97.860
-1.120,1.538,0.402,322.280,153.230,152.530
-0.923,1.256,0.270,423.360,161.210,199.850
-0.440,0.526,0.216,502.950,199.080,230.230
-0.344,-0.404,0.230,546.140,239.890,233.310
-0.170,-0.884,0.758,545.300,263.550,218.190
0.026,-1.652,1.204,421.750,274.400,168.420
0.099,-2.155,2.007,342.580,258.720,103.810
0.244,-2.244,2.279,192.920,206.290,72.310
0.252,-2.193,2.214,108.080,149.660,22.120
0.224,-1.965,1.864,107.520,126.700,-11.550
0.177,-1.858,1.600,126.140,80.430,-25.480
0.128,-1.712,1.496,132.860,44.240,-44.660
0.082,-1.559,1.053,141.120,41.160,-51.310
0.010,-1.456,0.771,128.030,47.950,-51.800
-0.020,-1.309,0.787,105.350,49.630,-52.570
-0.044,-1.133,0.492,49.070,55.370,-50.400
-0.134,-1.171,0.292,33.670,75.180,-52.570
-0.223,-1.051,0.195,47.320,46.270,-65.800
-0.173,-0.995,0.527,61.740,10.710,-80.080
-0.144,-0.895,0.420,54.670,-39.900,-85.540
-0.147,-0.759,0.088,55.230,-53.130,-86.800
-0.145,-0.717,-0.190,43.330,-46.900,-85.190
-0.202,-0.743,-0.275,20.650,-23.660,-81.830
-0.195,-0.755,-0.294,4.060,-12.530,-73.500
-0.128,-0.782,-0.299,-26.530,3.360,-69.160
-0.073,-0.867,-0.293,-34.230,12.390,-61.670
-0.044,-0.919,-0.296,-36.400,18.270,-53.480
-0.002,-0.957,-0.142,-27.860,27.440,-50.400
-0.006,-1.046,-0.193,-21.560,32.900,-48.930
0.009,-1.079,-0.096,-8.890,33.530,-46.760
0.028,-1.104,-0.057,4.410,31.850,-46.690
0.017,-1.163,0.002,9.450,27.650,-47.180
0.006,-1.186,0.027,18.200,25.480,-48.090
-0.014,-1.236,0.026,28.140,22.750,-50.400
-0.020,-1.284,0.042,32.060,21.910,-54.460
-0.013,-1.305,0.061,31.710,22.820,-57.120
0.009,-1.331,0.063,29.750,25.690,-62.510
0.024,-1.337,0.054,28.210,28.560,-67.270
0.038,-1.336,0.203,27.510,31.080,-68.390
0.081,-1.312,0.221,20.160,36.400,-70.350
0.056,-1.373,0.221,3.010,40.880,-78.190
0.087,-1.355,0.288,-14.630,45.220,-79.590
0.165,-1.286,0.434,-23.870,40.740,-82.880
0.170,-1.129,0.547,-27.720,36.260,-88.410
0.130,-1.158,0.583,-27.090,27.370,-91.560
0.114,-1.026,0.610,-23.730,22.050,-93.660
0.142,-0.939,0.478,-11.200,43.610,-82.110
0.071,-0.893,0.600,-33.880,36.610,-81.760
0.053,-0.935,0.632,-39.340,25.130,-84.350
0.042,-0.985,0.450,-35.420,21.490,-87.150
0.045,-1.029,0.378,-13.930,21.280,-91.350
0.035,-1.095,0.281,0.280,20.790,-100.240
0.020,-1.122,0.234,29.960,21.420,-106.120
-0.020,-1.143,0.216,44.590,23.590,-117.810
-0.038,-1.124,0.205,71.050,24.570,-130.270
0.012,-1.065,0.242,78.960,23.380,-134.260
0.145,-0.937,0.247,78.120,17.500,-137.690
0.205,-0.846,0.256,74.060,12.250,-135.520
0.277,-0.824,0.275,59.430,-4.060,-133.630
0.298,-0.826,0.226,49.630,-14.910,-128.800
0.311,-0.851,0.152,26.390,-18.970,-125.930
0.354,-0.880,0.114,6.790,-21.070,-123.410
0.493,-0.871,0.070,-0.560,-17.360,-118.160
0.385,-0.868,0.093,-9.450,-16.870,-115.990
0.372,-0.871,0.100,-11.410,-18.060,-113.680
0.363,-0.862,0.100,-10.710,-19.040,-112.560
0.333,-0.846,0.081,-3.360,-19.880,-111.860
0.302,-0.822,0.085,2.730,-19.390,-111.580
0.288,-0.812,0.115,14.490,-19.670,-112.910
0.266,-0.811,0.110,20.090,-20.370,-114.380
0.252,-0.791,0.090,21.140,-19.040,-117.320
0.239,-0.747,0.042,19.110,-17.150,-120.120
0.219,-0.717,0.020,23.800,-12.390,-120.680
0.213,-0.651,0.037,29.260,-9.450,-119.490
0.215,-0.624,0.100,33.390,-8.680,-115.570
0.256,-0.589,0.117,23.100,-7.560,-112.910

2.388,1.591,1.087,-76.300,19.110,65.380
2.336,1.973,1.155,-103.600,9.450,84.560
2.287,2.277,1.346,-103.810,3.220,110.460
2.109,2.406,1.484,-101.640,-14.000,125.930
1.953,2.627,1.446,-87.850,-22.050,168.980
1.794,2.657,1.564,-63.560,-35.700,209.160
1.388,2.655,1.425,-36.330,-66.710,230.510
1.143,2.601,1.288,-19.460,-80.430,275.870
1.041,2.397,1.057,22.330,-85.330,318.640
0.808,2.278,0.952,62.300,-87.150,337.470
0.493,1.949,0.901,77.070,-91.770,369.320
0.367,1.815,1.036,82.810,-100.240,432.180
0.070,1.669,1.021,84.420,-115.570,471.870
-0.269,1.222,1.004,80.570,-138.670,535.360
-0.550,0.905,0.898,73.570,-152.040,577.920
-0.935,0.115,0.825,61.950,-173.040,589.610
-1.112,-0.934,0.776,42.210,-173.530,584.010
-1.324,-1.518,0.930,-29.750,-166.740,566.370
-1.221,-2.673,1.047,-120.190,-146.720,504.350
-1.100,-3.619,1.306,-169.540,-139.370,428.610
-0.833,-3.926,1.523,-251.580,-139.650,395.640
-0.880,-4.275,1.641,-302.960,-197.610,322.420
-1.036,-4.369,1.444,-270.480,-228.410,223.440
-1.469,-4.345,0.851,-150.010,-248.150,172.270
-2.049,-4.125,0.788,-88.340,-273.210,78.330
-2.344,-3.744,0.463,24.360,-293.650,-2.100
-2.738,-3.571,-0.424,112.070,-318.360,-36.260
-2.900,-3.230,-0.881,149.450,-314.860,-87.290
-2.851,-3.005,-1.923,212.590,-297.920,-124.390
-2.803,-2.879,-2.334,270.900,-258.580,-137.690
-2.541,-2.953,-3.024,292.110,-188.650,-194.530
-2.147,-2.167,-2.860,256.690,-167.720,-131.180
-1.360,-1.996,-2.887,179.200,-115.430,-105.980
-1.383,-2.359,-2.858,150.010,-61.810,-100.100
-1.316,-2.467,-2.289,50.540,-42.070,-108.290
-1.020,-2.237,-2.059,-40.740,-21.490,-110.250
-0.787,-1.833,-1.721,-64.680,-21.070,-108.500
-0.778,-1.680,-1.470,-73.710,-25.480,-109.620
-0.611,-1.359,-1.479,-38.080,-11.970,-101.220
-0.567,-1.049,-1.279,-32.340,-12.460,-99.400
-0.709,-0.863,-1.173,-16.870,-16.030,-101.710
-0.746,-0.357,-1.264,25.130,-6.440,-93.170
-0.833,0.164,-1.481,86.660,11.410,-71.820
-0.836,0.336,-0.867,173.390,-24.780,-57.820
-0.657,0.409,-1.025,206.500,-26.040,-26.530
-0.652,0.178,-1.239,263.340,-7.000,-5.600
-0.513,0.037,-1.039,264.110,38.430,0.910
-0.393,-0.278,-0.901,254.310,73.920,4.340
-0.369,-0.408,-0.621,234.220,87.990,3.430
-0.285,-0.561,-0.462,198.030,108.430,3.920
-0.185,-0.701,-0.239,180.670,123.900,2.730
-0.136,-0.762,-0.076,157.430,132.860,3.010
-0.062,-0.874,0.056,136.500,141.820,-0.350
-0.030,-0.937,0.321,120.470,148.400,1.680
0.030,-0.962,0.565,92.050,150.290,4.410
0.090,-1.025,0.701,86.590,139.230,4.130
0.126,-1.109,1.022,82.810,128.730,0.630
0.180,-1.139,1.281,77.070,101.430,-1.960
0.223,-1.154,1.383,72.030,61.810,-7.140
0.236,-1.151,1.397,64.540,42.700,-10.570
0.279,-1.128,1.359,50.960,9.310,-11.340
0.287,-1.110,1.188,43.540,-12.810,-13.510
0.285,-1.099,0.987,20.230,-19.670,-17.150
0.285,-1.098,0.881,3.220,-29.120,-19.040
0.282,-1.072,0.644,0.420,-30.170,-22.610
0.275,-1.042,0.534,-1.540,-32.270,-22.820
0.264,-0.995,0.464,-4.900,-31.850,-23.520
0.247,-0.982,0.350,-5.530,-31.290,-23.940
0.229,-0.973,0.222,-3.920,-29.260,-23.450
0.215,-0.965,0.179,15.470,-24.710,-21.280
0.211,-1.006,0.094,4.480,-23.310,-21.560
0.177,-1.047,0.004,13.510,-13.860,-23.520
0.214,-1.041,-0.009,15.400,-6.160,-20.300
0.232,-1.090,-0.002,16.520,-5.040,-18.410
0.237,-1.124,-0.001,15.260,-1.820,-17.920
0.231,-1.187,-0.009,14.140,0.350,-19.600
0.232,-1.193,-0.042,10.710,1.610,-20.510
0.215,-1.209,-0.067,9.310,6.440,-21.840
0.206,-1.206,-0.061,8.540,9.940,-22.890
0.203,-1.195,-0.068,4.060,12.250,-23.240
0.185,-1.179,-0.068,3.430,16.730,-24.010
0.178,-1.148,-0.028,1.190,18.550,-22.120
0.176,-1.144,0.002,-4.410,21.000,-21.700
0.164,-1.148,-0.001,-6.160,25.410,-21.350
0.158,-1.130,-0.002,-4.900,28.630,-21.980
0.163,-1.118,0.027,1.120,33.460,-22.330
0.166,-1.095,0.113,5.880,35.070,-24.010
0.164,-1.077,0.227,14.140,34.020,-24.710
0.157,-1.025,0.276,12.320,30.170,-24.920
0.158,-1.007,0.332,10.220,25.410,-24.710
0.178,-1.011,0.352,10.290,21.840,-25.270
0.201,-1.034,0.352,11.830,13.580,-27.300
0.205,-1.080,0.298,11.760,10.010,-31.430
0.202,-1.112,0.222,8.190,6.090,-34.090
0.190,-1.166,0.194,3.990,3.850,-41.300
0.185,-1.209,0.106,-3.990,3.920,-49.560
0.165,-1.216,0.054,-4.620,4.970,-53.690
0.131,-1.210,-0.042,-3.220,9.100,-60.340
0.108,-1.213,-0.109,-1.890,12.250,-65.800
0.074,-1.234,-0.128,-0.210,20.650,-68.460
0.072,-1.256,-0.132,-0.630,28.980,-73.430
0.067,-1.264,-0.128,-2.170,33.810,-75.530
0.014,-1.236,-0.127,-6.160,46.550,-77.630
0.047,-1.213,-0.002,-16.940,46.480,-82.740
0.178,-1.225,0.025,-26.460,41.580,-84.840
0.168,-1.225,0.010,-4.200,37.940,-88.900
0.146,-1.151,0.017,-11.410,36.960,-90.510
